
2025/08/22 (02:56:55) | WARNING: Failed to join _runner thread on exit!

2025/08/22 (02:56:57) | ===> btop++ v.1.3.0
2025/08/22 (02:56:57) | WARNING: Failed to join _runner thread on exit!

2025/08/22 (03:15:45) | ===> btop++ v.1.3.0
2025/08/22 (03:15:45) | WARNING: Failed to join _runner thread on exit!

2025/08/22 (03:26:33) | ===> btop++ v.1.3.0
2025/08/22 (03:26:33) | WARNING: Failed to join _runner thread on exit!

2025/08/22 (20:18:54) | ===> btop++ v.1.3.0
2025/08/22 (20:18:54) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (01:41:53) | ===> btop++ v.1.3.0
2025/08/23 (01:41:53) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (01:58:16) | ===> btop++ v.1.3.0
2025/08/23 (01:58:16) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (01:58:39) | ===> btop++ v.1.3.0
2025/08/23 (01:58:39) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (01:59:59) | ===> btop++ v.1.3.0
2025/08/23 (01:59:59) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (11:36:12) | ===> btop++ v.1.3.0
2025/08/23 (11:36:12) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (13:50:16) | ===> btop++ v.1.3.0
2025/08/23 (13:50:16) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (18:34:19) | ===> btop++ v.1.3.0
2025/08/23 (18:34:19) | WARNING: Failed to join _runner thread on exit!

2025/08/23 (18:42:25) | ===> btop++ v.1.3.0
2025/08/23 (18:42:25) | WARNING: Failed to join _runner thread on exit!

2025/08/24 (01:44:40) | ===> btop++ v.1.3.0
2025/08/24 (01:44:40) | WARNING: Failed to join _runner thread on exit!

2025/08/24 (02:33:13) | ===> btop++ v.1.3.0
2025/08/24 (02:33:13) | WARNING: Failed to join _runner thread on exit!

2025/08/24 (02:39:56) | ===> btop++ v.1.3.0
2025/08/24 (02:39:56) | WARNING: Failed to join _runner thread on exit!

2025/08/24 (19:17:15) | ===> btop++ v.1.3.0
2025/08/24 (19:17:15) | WARNING: Failed to join _runner thread on exit!

2025/08/25 (03:29:16) | ===> btop++ v.1.3.0
2025/08/25 (03:29:16) | WARNING: Failed to join _runner thread on exit!

2025/08/25 (11:44:58) | ===> btop++ v.1.3.0
2025/08/25 (11:44:58) | WARNING: Failed to join _runner thread on exit!
